"nr_caf";"categoria_renda";"ds_tipo_renda";"ds_produto";"vl_renda_auferida";"vl_renda_estimada"
2156;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Laranja (Lima, Pêra, da Terra, etc) - Kg;5000.00;5000.00
2156;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Amendoim;3600.00;3600.00
2156;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;4000.00;4000.00
2156;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;500.00;500.00
2156;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Emprego temporário no meio urbano;9884.00;9884.00
2156;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;7200.00;7200.00
2159;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho em Grão - Kg;300.00;300.00
2159;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Pecuária;Bovinos - Corte;900.00;900.00
2159;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;7200.00;7200.00
2162;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Banana;6000.00;6000.00
2162;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;700.00;700.00
2162;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;500.00;500.00
2162;RENDA FORA DO ESTABALECIMENTO AGROPECUÁRIO;Rendas fora do estabelecimento;Programa Bolsa Família;4030.00;4030.00
2163;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Autoconsumo UFPA;Avicultura não integrada Carne;7300.00;7300.00
2163;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Permanentes;Outras Frutas Lavoura Permanente;1600.00;1600.00
2163;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Feijão;7800.00;7800.00
2163;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Lavouras Temporárias;Milho;4200.00;4200.00
2163;RENDA DO ESTABELECIMENTO AGROPECUÁRIO;Pesca Artesanal;Outros Produtos da Pesca;2500.00;2500.00
