municipio,nome_municipio_uf,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,idhm_educ_sub_esc,idhm_educ_sub_freq
5216007,Panamá (GO),0.248,"0,012","0,384","0,349",0.68600000000000005,"0,818","0,574","0,688","0,397","0,690"
5216304,Paranaiguara (GO),0.26900000000000002,"0,151","0,320","0,336",0.71099999999999997,"0,836","0,613","0,702","0,440","0,723"
5216403,Paraúna (GO),0.29399999999999998,"0,137","0,434","0,311",0.67200000000000004,"0,807","0,547","0,687","0,385","0,652"
5216452,Perolândia (GO),0.26400000000000001,"0,041","0,427","0,324",0.67600000000000005,"0,832","0,538","0,691","0,411","0,615"
5216809,Petrolina de Goiás (GO),0.23499999999999999,"0,117","0,312","0,276",0.71199999999999997,"0,834","0,643","0,674","0,444","0,773"
5216908,Pilar de Goiás (GO),0.33100000000000002,"0,146","0,430","0,416",0.68400000000000005,"0,816","0,600","0,654","0,345","0,791"
5217104,Piracanjuba (GO),0.28999999999999998,"0,204","0,329","0,338",0.72099999999999997,"0,870","0,599","0,720","0,434","0,704"
5217203,Piranhas (GO),0.252,"0,111","0,330","0,315",0.72099999999999997,"0,848","0,631","0,699","0,462","0,737"
5217401,Pires do Rio (GO),0.20200000000000001,"0,082","0,268","0,257",0.74399999999999999,"0,880","0,650","0,719","0,515","0,730"
5217708,Pontalina (GO),0.34499999999999997,"0,276","0,366","0,393",0.68700000000000006,"0,835","0,547","0,710","0,376","0,660"
5218003,Porangatu (GO),0.25700000000000001,"0,121","0,340","0,311",0.72699999999999998,"0,845","0,642","0,709","0,507","0,723"
5218052,Porteirão (GO),0.23200000000000001,"0,081","0,354","0,260",0.68400000000000005,"0,827","0,541","0,716","0,372","0,652"
5218102,Portelândia (GO),0.29499999999999998,"0,140","0,462","0,284",0.65400000000000003,"0,803","0,513","0,680","0,350","0,621"
5218300,Posse (GO),0.40500000000000003,"0,285","0,527","0,402",0.65900000000000003,"0,819","0,530","0,659","0,432","0,587"
5218391,Professor Jamil (GO),0.29699999999999999,"0,179","0,343","0,369",0.68400000000000005,"0,821","0,579","0,673","0,415","0,684"
5218508,Quirinópolis (GO),0.23400000000000001,"0,117","0,309","0,275",0.74,"0,863","0,642","0,732","0,496","0,730"
5218607,Rialma (GO),0.20399999999999999,"0,048","0,278","0,286",0.72699999999999998,"0,827","0,667","0,698","0,514","0,759"
5218706,Rianápolis (GO),0.23799999999999999,"0,063","0,357","0,295",0.69299999999999995,"0,840","0,587","0,674","0,406","0,706"
5218789,Rio Quente (GO),0.14799999999999999,"0,013","0,221","0,209",0.73099999999999998,"0,878","0,629","0,707","0,587","0,651"
5218805,Rio Verde (GO),0.224,"0,103","0,329","0,240",0.754,"0,853","0,656","0,765","0,556","0,713"
5218904,Rubiataba (GO),0.23300000000000001,"0,130","0,281","0,288",0.71899999999999997,"0,814","0,666","0,686","0,466","0,797"
5219001,Sanclerlândia (GO),0.248,"0,118","0,301","0,326",0.73599999999999999,"0,832","0,662","0,725","0,454","0,800"
5219100,Santa Bárbara de Goiás (GO),0.27400000000000002,"0,234","0,346","0,243",0.70599999999999996,"0,832","0,635","0,667","0,439","0,764"
5219209,Santa Cruz de Goiás (GO),0.24099999999999999,"0,062","0,290","0,370",0.68799999999999994,"0,827","0,563","0,700","0,362","0,703"
5219258,Santa Fé de Goiás (GO),0.20100000000000001,"0,022","0,321","0,261",0.71299999999999997,"0,847","0,608","0,703","0,439","0,715"
5219308,Santa Helena de Goiás (GO),0.26400000000000001,"0,179","0,358","0,254",0.72399999999999998,"0,823","0,627","0,734","0,479","0,718"
5219357,Santa Isabel (GO),0.27400000000000002,"0,165","0,381","0,275",0.68300000000000005,"0,818","0,593","0,658","0,389","0,732"
5219407,Santa Rita do Araguaia (GO),0.26500000000000001,"0,104","0,397","0,294",0.71399999999999997,"0,842","0,616","0,703","0,485","0,695"
5219456,Santa Rita do Novo Destino (GO),0.317,"0,184","0,426","0,342",0.63400000000000001,"0,820","0,487","0,639","0,310","0,611"
5219506,Santa Rosa de Goiás (GO),0.251,"0,060","0,399","0,294",0.70099999999999996,"0,844","0,635","0,643","0,397","0,804"
5219605,Santa Tereza de Goiás (GO),0.35,"0,247","0,445","0,359",0.66500000000000004,"0,825","0,561","0,635","0,421","0,647"
5219704,Santa Terezinha de Goiás (GO),0.30499999999999999,"0,153","0,360","0,403",0.70099999999999996,"0,826","0,644","0,647","0,435","0,783"
5219712,Santo Antônio da Barra (GO),0.28299999999999997,"0,078","0,447","0,324",0.69099999999999995,"0,835","0,593","0,665","0,379","0,741"
5220504,Serranópolis (GO),0.22900000000000001,"0,006","0,395","0,285",0.68100000000000005,"0,804","0,551","0,713","0,379","0,664"
5220603,Silvânia (GO),0.33800000000000002,"0,382","0,343","0,290",0.70899999999999996,"0,814","0,606","0,721","0,429","0,720"
5220686,Simolândia (GO),0.38200000000000001,"0,122","0,458","0,565",0.64500000000000002,"0,826","0,546","0,595","0,374","0,660"
