"nr_caf";"ds_tipo_area";"ds_tipo_unidade_medida";"nr_area";"cd_municipio";"sg_uf";"nm_municipio";"ds_tipo_localizacao_area";"ds_condicao_dominio";"st_imovel_principal";"nr_latitude";"nr_longitude"
5226;Terra;ha;35.40;"2513307";PB;Santa Helena;Rural;Proprietário;true;-6.6744444444444;-38.623888888889
5228;Terra;ha;1.00;"2602001";PE;Bodocó;Rural;Comodatário;true;-7.60972222;-40.09527777
5230;Terra;ha;6.27;"2613602";PE;São José do Egito;Rural;Posseiro;true;-7.528072;-37.404319
5231;Terra;ha;2.53;"2612307";PE;Saloá;Rural;Posseiro;true;-9.007749588362636;-36.69762700796127
5232;Terra;ha;1.50;"3200201";ES;Alegre;Rural;Parceiro/meeiro;true;-20.86179958471741;-41.54256820678711
5233;Terra;ha;12.40;"4104451";PR;Cantagalo;Rural;Arrendatário;false;-25.27528;-52.20949
5233;Terra;ha;4.34;"4104451";PR;Cantagalo;Rural;Proprietário;true;-25.395589803827246;-52.1159202327881
5233;Terra;ha;6.32;"4104451";PR;Cantagalo;Rural;Proprietário;false;-25.435563;-52.118066
5233;Terra;ha;1.07;"4104451";PR;Cantagalo;Rural;Proprietário;false;-25.435563822705575;-52.11806671936034
5233;Terra;ha;4.84;"4104451";PR;Cantagalo;Rural;Arrendatário;false;-25.4113771338015;-52.105271064038114
5233;Terra;ha;7.26;"4104451";PR;Cantagalo;Rural;Arrendatário;false;-25.391935777889508;-52.11364571954347
5235;Terra;ha;2.00;"2601201";PE;Arcoverde;Rural;Arrendatário;true;-8.413214;-36.993697
5236;Terra;ha;2.71;"2612307";PE;Saloá;Rural;Proprietário;true;-8.936983434443816;-36.68557047843933
5237;Terra;ha;10.90;"2600807";PE;Altinho;Rural;Posseiro;true;-8.47486388888889;-36.1281222222222
5239;Terra;ha;2.80;"2513307";PB;Santa Helena;Rural;Proprietário;true;-6.699985823778249;-38.635820746421814
5240;Terra;ha;14.19;"4305108";RS;Caxias do Sul;Rural;Proprietário;false;-29.24906223729264;-51.10631383481612
5240;Terra;ha;10.00;"4305108";RS;Caxias do Sul;Rural;Proprietário;false;-29.251500736290918;-51.101829181615926
5240;Terra;ha;7.43;"4305108";RS;Caxias do Sul;Rural;Proprietário;true;-29.240866395249036;-51.11724651891345
5241;Terra;ha;3.08;"2607406";PE;Itacuruba;Rural;Posseiro;true;-8.667409082042068;-38.62699091434479
5242;Terra;ha;6.62;"4313201";RS;Nova Petrópolis;Rural;Arrendatário;false;-29.383582;-51.18916
5242;Terra;ha;0.72;"4313201";RS;Nova Petrópolis;Rural;Arrendatário;true;-29.36966;-51.044655
